dia;formato;mes;dia_semana;du;sab;dom;ferias;tipo_dia;feriado;ptes;eventos
20151024;24/10/2015;10;7;0;1;0;0;normal;0;0;0
20151025;25/10/2015;10;1;0;0;1;0;evento;0;0;1
20151026;26/10/2015;10;2;1;0;0;0;normal;0;0;0
20151027;27/10/2015;10;3;1;0;0;0;normal;0;0;0
20151028;28/10/2015;10;4;1;0;0;0;normal;0;0;0
20151029;29/10/2015;10;5;1;0;0;0;normal;0;0;0
20151030;30/10/2015;10;6;1;0;0;0;normal;0;0;0
20151031;31/10/2015;10;7;0;1;0;0;normal;0;0;0
20151101;01/11/2015;11;1;0;0;1;0;normal;0;0;0
20151102;02/11/2015;11;2;1;0;0;0;feriado;1;0;0
20151103;03/11/2015;11;3;1;0;0;0;normal;0;0;0
20151104;04/11/2015;11;4;1;0;0;0;normal;0;0;0
20151105;05/11/2015;11;5;1;0;0;0;normal;0;0;0
20151106;06/11/2015;11;6;1;0;0;0;normal;0;0;0
20151107;07/11/2015;11;7;0;1;0;0;normal;0;0;0
20151108;08/11/2015;11;1;0;0;1;0;normal;0;0;0
20151109;09/11/2015;11;2;1;0;0;0;normal;0;0;0
20151110;10/11/2015;11;3;1;0;0;0;normal;0;0;0
20151111;11/11/2015;11;4;1;0;0;0;normal;0;0;0
20151112;12/11/2015;11;5;1;0;0;0;normal;0;0;0
20151113;13/11/2015;11;6;1;0;0;0;normal;0;0;0
20151114;14/11/2015;11;7;0;1;0;0;normal;0;0;0
20151115;15/11/2015;11;1;0;0;1;0;feriado;1;0;0
20151116;16/11/2015;11;2;1;0;0;0;normal;0;0;0
20151117;17/11/2015;11;3;1;0;0;0;normal;0;0;0
20151118;18/11/2015;11;4;1;0;0;0;normal;0;0;0
20151119;19/11/2015;11;5;1;0;0;0;normal;0;0;0
20151120;20/11/2015;11;6;1;0;0;0;feriado;1;0;0
20151121;21/11/2015;11;7;0;1;0;0;normal;0;0;0
20151122;22/11/2015;11;1;0;0;1;0;normal;0;0;0
20151123;23/11/2015;11;2;1;0;0;0;normal;0;0;0
20151124;24/11/2015;11;3;1;0;0;0;normal;0;0;0
20151125;25/11/2015;11;4;1;0;0;0;normal;0;0;0
20151126;26/11/2015;11;5;1;0;0;0;normal;0;0;0
20151127;27/11/2015;11;6;1;0;0;0;normal;0;0;0
20151128;28/11/2015;11;7;0;1;0;0;normal;0;0;0
20151129;29/11/2015;11;1;0;0;1;0;normal;0;0;0
20151130;30/11/2015;11;2;1;0;0;0;normal;0;0;0
20151201;01/12/2015;12;3;1;0;0;1;normal;0;0;0
20151202;02/12/2015;12;4;1;0;0;1;normal;0;0;0
20151203;03/12/2015;12;5;1;0;0;1;normal;0;0;0
20151204;04/12/2015;12;6;1;0;0;1;normal;0;0;0
20151205;05/12/2015;12;7;0;1;0;1;normal;0;0;0
20151206;06/12/2015;12;1;0;0;1;1;normal;0;0;0
20151207;07/12/2015;12;2;1;0;0;1;normal;0;0;0
20151208;08/12/2015;12;3;1;0;0;1;normal;0;0;0
20151209;09/12/2015;12;4;1;0;0;1;normal;0;0;0
20151210;10/12/2015;12;5;1;0;0;1;normal;0;0;0
20151211;11/12/2015;12;6;1;0;0;1;normal;0;0;0
20151212;12/12/2015;12;7;0;1;0;1;normal;0;0;0
20151213;13/12/2015;12;1;0;0;1;1;normal;0;0;0
20151214;14/12/2015;12;2;1;0;0;1;normal;0;0;0
20151215;15/12/2015;12;3;1;0;0;1;normal;0;0;0
20151216;16/12/2015;12;4;1;0;0;1;normal;0;0;0
20151217;17/12/2015;12;5;1;0;0;1;normal;0;0;0
20151218;18/12/2015;12;6;1;0;0;1;normal;0;0;0
20151219;19/12/2015;12;7;0;1;0;1;normal;0;0;0
20151220;20/12/2015;12;1;0;0;1;1;normal;0;0;0
20151221;21/12/2015;12;2;1;0;0;1;normal;0;0;0
20151222;22/12/2015;12;3;1;0;0;1;normal;0;0;0
20151223;23/12/2015;12;4;1;0;0;1;normal;0;0;0
20151224;24/12/2015;12;5;1;0;0;1;evento;0;0;1
20151225;25/12/2015;12;6;1;0;0;1;feriado;1;0;0
20151226;26/12/2015;12;7;0;1;0;1;normal;0;0;0
20151227;27/12/2015;12;1;0;0;1;1;normal;0;0;0
20151228;28/12/2015;12;2;1;0;0;1;normal;0;0;0
20151229;29/12/2015;12;3;1;0;0;1;normal;0;0;0
20151230;30/12/2015;12;4;1;0;0;1;normal;0;0;0
