;linha;sistema;onibus;noturna;trilhos;metro;cptm;linha_trilho;linha1;linha2;linha3;linha4;linha5;linha6;linha7;linha8;linha9;linha10;linha11;linha12;linha13;linha14;linha15;preemb;area;area1;area2;area3;area4;area5;area6;area7;area8;
73;1741-21;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1741-21'],label='1741-21')
74;1742-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1742-10'],label='1742-10')
75;1743-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1743-10'],label='1743-10')
76;1744-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1744-10'],label='1744-10')
77;1745-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1745-10'],label='1745-10')
78;1745-41;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1745-41'],label='1745-41')
79;174M-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['174M-10'],label='174M-10')
80;1756-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1756-10'],label='1756-10')
81;1757-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1757-10'],label='1757-10')
82;1758-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1758-10'],label='1758-10')
83;1759-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1759-10'],label='1759-10')
84;1759-21;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1759-21'],label='1759-21')
85;1759-41;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['1759-41'],label='1759-41')
86;175P-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['175P-10'],label='175P-10')
87;175T-10;onibus;1;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;sns.distplot(diaLinha['175T-10'],label='175T-10')
